Date,Open,High,Low,Close,Adj Close,Volume
2013-11-20,5140,5160,5080,5130,4752.728027,4939
2013-11-21,5050,5140,5040,5110,4734.19873,7544
2013-11-22,5140,5150,5050,5060,4687.875977,7340
2013-11-25,5070,5140,5000,5080,4706.405273,8610
2013-11-26,5080,5160,5060,5060,4687.875977,6410
2013-11-27,5120,5130,4990,5010,4641.553223,9222
2013-11-28,5080,5150,5030,5030,4660.08252,11553
2013-11-29,5090,5150,5060,5120,4743.463867,6330
2013-12-02,5190,5190,5060,5100,4724.93457,5470
2013-12-03,5060,5190,4995,4995,4627.655762,12620
2013-12-04,5000,5060,4960,5010,4641.553223,12876
2013-12-05,5020,5060,4965,4965,4599.862305,7560
2013-12-06,4900,5020,4900,4930,4567.436523,12480
2013-12-09,4955,5000,4930,4930,4567.436523,9163
2013-12-10,4860,4960,4860,4875,4516.480957,9094
2013-12-11,4840,4990,4830,4915,4553.539551,7230
2013-12-12,4750,4925,4750,4845,4488.687988,4113
2013-12-13,4980,4980,4810,4900,4539.642578,11292
2013-12-16,4850,4930,4815,4835,4479.422852,7900
2013-12-17,4875,4875,4825,4830,4474.791016,3552
2013-12-18,4850,4850,4675,4680,4335.822266,18656
2013-12-19,4690,4700,4615,4660,4317.292969,12852
2013-12-20,4615,4720,4605,4615,4275.602539,7628
2013-12-23,4640,4720,4600,4650,4308.02832,11140
2013-12-24,4585,4680,4585,4620,4280.234375,9004
2013-12-26,4620,4700,4600,4670,4326.557129,10709
2013-12-27,4670,4675,4580,4675,4425.963867,6291
2013-12-30,4780,4780,4690,4720,4468.566895,8131
2014-01-02,4720,4820,4680,4790,4534.837891,10120
2014-01-03,4805,4835,4735,4800,4544.305664,11190
2014-01-06,4800,4875,4750,4855,4596.375488,6882
2014-01-07,4780,4880,4780,4870,4610.57666,4412
2014-01-08,4885,5030,4830,5020,4752.586426,17008
2014-01-09,5020,5170,5020,5040,4771.520508,24090
2014-01-10,5030,5080,4900,4990,4724.184082,14220
2014-01-13,5070,5070,4920,4950,4686.314941,9110
2014-01-14,4910,5130,4910,5010,4743.118652,7611
2014-01-15,5020,5070,4970,5060,4790.455566,3632
2014-01-16,5020,5090,4955,5070,4799.922852,7243
2014-01-17,4990,5150,4985,5030,4762.053223,12503
2014-01-20,5000,5130,5000,5040,4771.520508,7804
2014-01-21,5110,5110,5040,5080,4809.389648,9210
2014-01-22,5160,5160,5060,5060,4790.455566,9415
2014-01-23,5150,5150,5050,5050,4780.987793,15530
2014-01-24,5050,5150,5050,5080,4809.389648,4820
2014-01-27,5030,5090,4995,5080,4809.389648,8660
2014-01-28,5120,5120,4970,5020,4752.586426,10661
2014-01-29,5130,5130,5000,5030,4762.053223,6300
2014-02-03,5030,5080,4970,4985,4719.450195,7110
2014-02-04,5000,5000,4900,4900,4638.978516,16930
2014-02-05,4900,4975,4815,4900,4638.978516,6910
2014-02-06,4900,4950,4830,4930,4667.380371,11960
2014-02-07,4830,4945,4830,4900,4638.978516,12080
2014-02-10,4975,4975,4870,4935,4672.11377,6060
2014-02-11,4920,4990,4920,4970,4705.249512,5650
2014-02-12,4920,5030,4920,4980,4714.716797,9294
2014-02-13,5010,5010,4955,4990,4724.184082,3930
2014-02-14,4950,5020,4950,4980,4714.716797,1240
2014-02-17,5010,5100,4940,5080,4809.389648,20450
2014-02-18,5090,5090,5000,5020,4752.586426,6580
2014-02-19,5010,5260,5000,5200,4922.998047,37941
2014-02-20,5280,5980,5200,5780,5472.101074,370141
2014-02-21,5900,6370,5530,5770,5462.633789,978254
2014-02-24,5740,5810,5520,5780,5472.101074,138828
2014-02-25,5850,5880,5460,5490,5197.549805,121611
2014-02-26,5490,5550,5280,5290,5008.203125,147005
2014-02-27,5310,5400,5250,5390,5102.876465,47165
2014-02-28,5370,5470,5320,5460,5169.146973,61280
2014-03-03,5460,5460,5310,5340,5055.539551,24361
2014-03-04,5250,5370,5250,5320,5036.605469,27745
2014-03-05,5450,5450,5350,5410,5121.811035,24670
2014-03-06,5420,5460,5360,5400,5112.34375,30190
2014-03-07,5420,5580,5400,5530,5235.418457,48378
2014-03-10,5540,5600,5350,5400,5112.34375,41900
2014-03-11,5370,5490,5350,5490,5197.549805,31754
2014-03-12,5530,5530,5390,5500,5207.016113,36505
2014-03-13,5490,5590,5440,5570,5273.287598,24090
2014-03-14,5520,5820,5500,5740,5434.231934,80264
2014-03-17,5760,5850,5670,5750,5443.699707,25182
2014-03-18,5810,6000,5660,5940,5623.578125,60348
2014-03-19,5990,6050,5760,5810,5500.50293,45456
2014-03-20,5810,5900,5670,5800,5491.035645,32386
2014-03-21,5850,5850,5650,5730,5424.764648,32500
2014-03-24,5690,5700,5540,5630,5330.091309,47000
2014-03-25,5600,5660,5430,5490,5197.549805,44005
2014-03-26,5500,5630,5500,5600,5301.689453,40370
2014-03-27,5590,5730,5590,5600,5301.689453,27910
2014-03-28,5830,5830,5550,5770,5462.633789,40310
2014-03-31,6000,6200,5890,5960,5642.512695,123284
2014-04-01,6090,6090,5830,6040,5718.250977,57832
2014-04-02,6040,6150,5930,6070,5746.652832,68882
2014-04-03,6090,6300,6070,6170,5841.325684,142492
2014-04-04,6200,6760,6100,6640,6286.289063,353774
2014-04-07,6580,6980,6580,6950,6579.775391,212585
2014-04-08,6950,7080,6800,7070,6693.382813,153218
2014-04-09,7110,7400,7010,7400,7005.804199,182192
2014-04-10,7400,7440,7040,7100,6721.785156,137044
2014-04-11,7010,7270,6850,7160,6778.588379,193778
2014-04-14,7050,7250,6990,7130,6750.187012,50800
2014-04-15,7040,7140,6940,7010,6636.57959,147070
2014-04-16,7010,7870,6900,7550,7147.813965,393117
2014-04-17,7650,7790,7420,7690,7280.355957,129235
2014-04-18,7700,7720,7470,7470,7072.075195,108166
